"n","latitude","longitude","target","b0_GCVI","b1_GCVI","b2_GCVI","b3_GCVI","b4_GCVI"
1,-28.5932858,-52.6497799,"soybean",-1.4882439374923706,-3.8113625049591064,-6.338071346282959,1.2918025255203247,-4.6316914558410645
2,-30.874595,-51.72550985,"soybean",-1.0790942907333374,-1.828730225563049,-4.83789587020874,2.0158090591430664,-2.661626100540161
3,-28.8448076,-53.46126165,"soybean",0.16900871694087982,-2.0509982109069824,-2.741626501083374,-1.1819744110107422,-2.7077488899230957
4,-30.6557066,-55.11848009,"soybean",-0.924219012260437,-2.597677230834961,-4.246417999267578,0.8886907696723938,-3.352146625518799
5,-28.8597836,-53.61491316,"soybean",-0.6719911098480225,-2.803353071212769,-4.3012776374816895,-0.20945945382118225,-3.4344265460968018
6,-28.4173187,-55.03170748,"soybean",-5.15424108505249,-7.34462308883667,-10.879840850830078,2.6003060340881348,-7.33173131942749
7,-28.6449967,-55.84263429,"soybean",-0.684417188167572,-1.7448889017105105,-5.17346715927124,1.368133306503296,-4.165882587432861
8,-28.6396806,-52.78694274,"soybean",-0.9151285886764526,-3.8624000549316406,-5.570277214050293,1.4392621517181396,-4.7070841789245605
9,-30.8049259,-55.27338577,"soybean",-0.9067733883857728,-3.2033050060272217,-4.744384765625,0.5329000353813171,-3.7717881202697754
10,-27.7275035,-51.54490756,"soybean",-0.9902614951133728,-2.368723154067993,-5.2620015144348145,1.123315691947937,-4.3575215339660645
11,-29.0297033,-54.9206124,"soybean",-10.400090217590332,-6.194132328033447,-19.35383415222168,6.542745113372803,-6.669859886169434
12,-28.3050098,-53.64712066,"soybean",-0.3798823356628418,-3.7427589893341064,-3.979496479034424,0.5902412533760071,-4.535157680511475
13,-31.3197632,-53.99589717,"soybean",-2.468127727508545,-2.3523929119110107,-7.69012451171875,3.975080728530884,-1.8239970207214355
14,-32.1131718,-53.16474956,"soybean",-4.723501205444336,-4.550051689147949,-11.359417915344238,2.9819743633270264,-5.544665813446045
15,-32.0404125,-53.21354518,"soybean",-5.115482330322266,-4.4935102462768555,-12.380330085754396,3.6059980392456055,-5.397820472717285
16,-28.6043749,-52.97014951,"soybean",-1.9616326093673704,-3.574997901916504,-6.994696140289307,1.9031436443328855,-4.199147701263428
17,-28.6192685,-52.7372193,"soybean",-0.14705343544483185,-2.6645443439483643,-4.007831573486328,1.3246315717697144,-3.57692813873291
18,-27.7118869,-52.56109384,"soybean",-4.217597484588623,-5.241976737976074,-10.647408485412598,3.294079542160034,-5.5795817375183105
19,-28.6750359,-52.60838086,"soybean",1.1609655618667605,-0.8175661563873291,-0.6490216851234436,-0.12853462994098663,-1.291051745414734
20,-32.5076592,-53.32607728,"soybean",-1.84447181224823,-1.75286066532135,-6.536218643188477,2.951968193054199,-2.4625377655029297
21,-29.3520478,-53.40728603,"soybean",-1.968227744102478,-3.554384708404541,-6.796876907348633,2.186439514160156,-4.5584588050842285
22,-28.1368872,-52.21186278,"soybean",0.6741567850112915,-2.636298894882202,-3.2260468006134033,-0.4981086850166321,-3.9800875186920166
23,-29.7310322,-53.42202072,"soybean",-2.335044860839844,-2.4015679359436035,-7.14946174621582,1.984743595123291,-3.447957992553711
24,-29.035675,-52.61132112,"soybean",-0.02386151067912578,0.3844108581542969,-4.755373954772949,2.8929336071014404,-1.624905347824097
25,-27.7390331,-51.55538607,"soybean",-1.3346904516220093,-2.6717512607574463,-5.35740327835083,1.035025954246521,-4.10105562210083
26,-27.9503453,-53.08935684,"soybean",-0.9002110362052917,-4.375144958496094,-5.188125133514404,1.0252125263214111,-4.828923225402832
27,-28.6451179,-52.94829766,"soybean",-2.3304684162139893,-3.655149459838867,-7.417774200439453,2.2735934257507324,-4.637058258056641
28,-28.696453,-53.09574681,"soybean",-2.1123158931732178,-3.0213544368743896,-7.0492658615112305,1.5975147485733032,-4.170763969421387
29,-28.5274061,-52.76503962,"soybean",-1.0193921327590942,-2.3588690757751465,-5.282462120056152,0.8752145767211914,-3.8385393619537354
30,-29.2581333,-53.27151606,"soybean",-0.807342529296875,-2.998685359954834,-4.379197120666504,-0.1142006292939186,-3.2496888637542725
31,-28.2090537,-51.63171253,"soybean",-3.497307300567627,-5.756841659545898,-9.003927230834961,1.3841296434402466,-6.664257049560547
32,-29.9139342,-52.66890978,"soybean",-6.4331769943237305,-4.2506632804870605,-13.54396629333496,4.161389350891113,-4.944651126861572
33,-28.6496933,-52.90467304,"soybean",-0.2283024340867996,-2.432551145553589,-3.794372797012329,-0.0296267569065094,-3.6835012435913086
34,-28.6380017,-52.82960554,"soybean",-1.9189553260803225,-3.1398346424102783,-7.12727689743042,1.657052993774414,-4.392059803009033
35,-30.1052036,-52.36596403,"soybean",-5.115958213806152,-4.4873270988464355,-11.924427032470703,3.6562540531158447,-5.437787055969238
36,-30.8078493,-55.14485994,"soybean",-1.6903260946273804,-2.95707631111145,-6.095446586608887,1.6563705205917358,-3.96753191947937
37,-28.1334215,-52.17248799,"soybean",-0.9786324501037598,-2.7752845287323,-6.056929588317871,2.0118069648742676,-4.673246383666992
38,-30.1510827,-50.47886571,"soybean",-1.7318238019943235,-2.323909282684326,-5.313279151916504,1.360866665840149,-3.192427158355713
39,-32.1090395,-52.92119485,"soybean",-0.9113245010375975,-2.3956613540649414,-5.386569023132324,1.8311687707901,-3.248605728149414
40,-28.6311936,-52.77369919,"soybean",-0.1261856108903885,-1.4963778257369995,-3.41957426071167,0.3363332748413086,-2.7492220401763916
41,-28.5190539,-53.56003117,"soybean",0.6879397034645081,-2.5967774391174316,-1.5555661916732788,-0.8484125137329102,-3.130794048309326
42,-28.2078294,-51.11458775,"soybean",0.6316896677017212,-1.8029873371124268,-2.546717882156372,0.07943784445524216,-3.12199330329895
43,-28.6432698,-55.86421891,"soybean",-1.1171783208847046,-3.356251001358032,-5.597231864929199,1.7251265048980713,-4.276018142700195
44,-27.9459287,-52.35422657,"soybean",-6.849492073059082,-6.901614665985107,-13.81063747406006,4.647781848907471,-7.022087097167969
45,-31.8799666,-52.62915257,"soybean",-1.5680011510849,-1.3777955770492554,-6.104100704193115,1.256272315979004,-3.3597488403320312
46,-28.5916356,-52.65009429,"soybean",-2.0791995525360107,-3.4389102458953857,-7.292349338531494,2.072234630584717,-4.9536943435668945
47,-27.8396109,-54.58866268,"soybean",-3.062886953353882,-5.234893321990967,-7.44167423248291,2.2220585346221924,-5.471704483032227
48,-28.5149039,-52.77142665,"soybean",0.714432418346405,-1.935981512069702,-2.4645581245422363,-0.6420373916625977,-3.131073236465454
49,-28.2894818,-52.8323147,"soybean",0.03956525400280952,-1.3160996437072754,-4.0781707763671875,1.389464259147644,-3.4251179695129395
50,-27.74217,-53.15921488,"soybean",-0.5297590494155884,-3.620095252990722,-4.125778675079346,0.9003067016601564,-4.202605247497559
51,-27.93454,-52.08487,"corn",4.518655776977539,0.8883052468299866,3.789150714874267,-2.72702693939209,1.9619929790496824
52,-28.12877,-51.32797,"corn",1.2942827939987185,-2.2323169708251953,-1.025173306465149,-2.233703136444092,-2.806947946548462
53,-27.89983,-54.50413,"corn",7.857553482055664,5.9253740310668945,7.319816589355469,-1.4693303108215332,4.564987659454346
54,-28.43043,-51.63524,"corn",-2.8303744792938232,-5.783803462982178,-5.6113409996032715,-1.8592519760131836,-3.333561897277832
55,-28.5802,-51.75654,"corn",-0.27174970507621765,-3.2403061389923096,-3.477078437805176,-0.8034638166427612,-3.233438491821289
56,-27.70097,-51.79288,"corn",5.268765449523926,1.389688491821289,3.5696866512298584,-1.974679946899414,2.264918088912964
57,-27.85226,-54.53667,"corn",8.166780471801758,5.6809868812561035,8.586024284362793,-2.415180206298828,4.8693952560424805
58,-27.80136,-54.69048,"corn",5.24789571762085,4.047213077545166,3.78080153465271,-1.130307674407959,3.2699203491210938
59,-28.41351,-52.03902,"corn",4.443718910217285,0.6129660606384277,3.939958095550537,-2.903625249862671,1.4652355909347534
60,-28.13993,-52.18444,"corn",4.516593933105469,0.6665526032447815,4.064483642578125,-2.780003309249878,1.7820724248886108
61,-28.0773,-51.46519,"corn",2.765699625015259,-0.8888711929321289,0.9614785313606262,-2.1646413803100586,-1.2380008697509766
62,-27.7914,-53.33281,"corn",5.160427570343018,1.880253314971924,4.50864315032959,-2.4774229526519775,2.669727325439453
63,-33.66814,-53.43975,"corn",0.9629753828048706,-0.9125820994377136,-1.6929103136062622,1.5077439546585083,-0.7307822704315186
64,-27.83847,-54.60032,"corn",4.898586750030518,4.098415851593018,3.535667657852173,-0.6758711338043213,3.3721773624420166
65,-27.9674,-54.80923,"corn",5.168261528015137,3.303823709487915,4.8912034034729,-1.087741136550903,2.458721160888672
66,-27.55513,-53.35703,"corn",5.015093803405762,2.09873104095459,4.126718997955322,-1.929774045944214,2.6958212852478027
67,-28.34774,-51.64038,"corn",1.183614730834961,-3.1115691661834717,-0.675935685634613,-3.237252950668335,-2.595064401626587
68,-29.47335,-52.99931,"corn",1.5624735355377195,-1.2881001234054563,-0.08377242088317871,-0.85781097412109375,-1.272956609725952
69,-27.78677,-54.70012,"corn",5.42413330078125,5.011707782745361,4.1639299392700195,-0.6887861490249634,4.356861114501953
70,-28.61678,-52.72858,"corn",5.304838180541992,1.7731592655181885,4.170720100402832,-2.4126713275909424,2.627532720565796
71,-28.6342,-50.66973,"corn",0.927768051624298,-2.2936952114105225,-2.7950010299682617,0.4842875897884369,-3.133575916290283
72,-28.25954,-54.03832,"corn",5.026989936828613,1.6828829050064087,4.354048728942871,-1.94986629486084,1.0241936445236206
73,-28.21625,-55.21652,"corn",9.35085678100586,6.369495868682861,10.007818222045898,-2.799987316131592,5.056938171386719
74,-27.89923,-54.50289,"corn",8.223633766174316,6.2218427658081055,7.842318534851074,-1.4743022918701172,4.696304798126221
75,-28.64009,-52.78925,"corn",4.929173946380615,2.122368574142456,3.9867990016937256,-1.7029502391815186,2.625497579574585
76,-29.6447,-50.51796,"corn",-1.088779091835022,-2.53206205368042,-4.4218292236328125,1.02825927734375,-3.1057419776916504
77,-27.76787,-52.49252,"corn",3.5419673919677734,-0.5921924710273743,3.0061614513397217,-2.5942187309265137,-0.6358603835105896
78,-27.80475,-54.76057,"corn",4.561368465423584,3.1987719535827637,3.418572425842285,-0.36778485774993896,2.2370309829711914
79,-27.63043,-54.64707,"corn",5.837381839752197,4.670018672943115,4.998778820037842,-0.929664433002472,4.3985137939453125
80,-29.85181,-52.39412,"corn",1.5519343614578247,1.109144687652588,-1.4741967916488647,0.1272510588169098,2.923525094985962
81,-28.50495,-52.77707,"corn",5.187738418579102,1.5383291244506836,4.288240432739258,-2.939626455307007,2.510164499282837
82,-29.74245,-51.94768,"corn",13.737316131591797,6.565598964691162,17.014371871948242,-6.166316509246826,4.157476425170898
83,-27.63205,-54.66075,"corn",5.1287336349487305,3.433957815170288,4.3003692626953125,-0.7888044118881226,2.5252318382263184
84,-28.05703,-51.83151,"corn",3.691151618957519,-1.0639842748641968,2.3446762561798096,-2.666423797607422,-0.4283289909362793
85,-28.21748,-52.82253,"corn",6.567786693572998,1.4818439483642578,6.684060096740723,-4.171743869781494,2.874047040939331
86,-33.66626,-53.43829,"corn",0.6682537198066711,-1.435635685920715,-2.2753827571868896,1.3845558166503906,-1.710709810256958
87,-28.50792,-52.77504,"corn",4.346134185791016,0.9672353267669678,3.279350519180298,-2.7467944622039795,2.0135955810546875
88,-27.72107,-51.7949,"corn",3.867680788040161,1.4381892681121826,1.7153847217559814,-1.3001750707626345,2.4099583625793457
89,-27.22337,-53.20504,"corn",1.5528862476348877,-0.02352848649024963,-0.8423501253128052,0.28105515241622925,-0.6036823391914368
90,-28.0469,-51.8044,"corn",3.385214567184448,-0.21189884841442108,2.4812169075012207,-1.9860026836395264,0.7475886344909668
91,-28.14555,-52.29783,"corn",4.616562843322754,0.7704891562461853,4.052323341369629,-2.9890620708465576,1.9201128482818604
92,-28.0807,-51.46617,"corn",1.5974513292312622,-1.2216976881027222,-0.22549112141132355,-1.4642090797424316,-1.388672947883606
93,-31.27307,-52.14749,"corn",-2.606200933456421,-2.8326876163482666,-7.053277015686035,2.0814645290374756,-3.225480556488037
94,-27.53487,-53.46204,"corn",7.261119365692139,3.3314595222473145,6.754040718078613,-3.0283122062683105,3.8060762882232666
95,-28.24695,-54.104,"corn",3.8538622856140137,0.411129355430603,3.3018009662628174,-1.4839287996292114,0.8250806927680969
96,-28.53374,-52.84692,"corn",5.6288065910339355,1.4232943058013916,5.1896843910217285,-3.280592679977417,2.6664559841156006
97,-27.67757,-54.75618,"corn",7.803895950317383,5.783092498779297,7.469812870025635,-1.889733076095581,5.124162673950195
98,-28.32241,-51.33973,"corn",3.8540384769439697,-0.4112831652164459,2.8290011882781982,-2.7181100845336914,0.7116879820823669
99,-28.13302,-51.36585,"corn",2.423372268676758,-1.645502686500549,1.0575008392333984,-2.884990692138672,-1.3496198654174805
100,-28.05637,-54.54361,"corn",7.691085815429688,4.866612434387207,7.726855754852295,-2.407301425933838,4.228607177734375
